Year,title,opening_weekend,Profit,mpaa,genre,theaters,runtime
2015,The Martian,54308575,774042770,PG-13,Thriller/Suspense,3854,130
2016,Allied,12701743,53364725,R,Drama,3160,124
2004,"I, Robot",52179887,388430608,PG-13,Action,3494,115
1999,Stuart Little,15018223,333830448,PG,Adventure,3151,92
2009,The Princess and the Frog,786190,270398277,G,Adventure,3475,97
2008,"10,000 B.C.",35867488,258849879,PG-13,Adventure,3454,109
2016,Ice Age: Collision Course,21373064,361219690,PG,Adventure,3997,100
1997,Starship Troopers,22058773,70868952,R,Action,2971,129
2001,Town & Country,3029858,-87922780,R,Romantic Comedy,2222,118
2017,Kingsman: The Golden Circle,39023010,405038534,R,Action,4038,141
2000,Gone in 60 Seconds,25336048,230986016,PG-13,Action,3089,117
2000,Gladiator,34819017,541119393,R,Action,3188,154
2013,The Hangover 3,41671198,371200144,R,Comedy,3565,100
2018,A Wrinkle in Time,33123609,130693157,PG,Adventure,3980,120
2009,Public Enemies,25271675,206887329,R,Drama,3336,140
2006,Casino Royale,40833156,659785283,PG-13,Action,3443,144
2002,Minority Report,35677125,388849428,PG-13,Action,3001,144
2018,Bumblebee,21654047,490391178,PG-13,Adventure,3597,114
2012,Cloud Atlas,9612247,55781426,R,Drama,2023,172
2002,Harry Potter and the Chamber of Secrets,88357488,1037495934,PG,Adventure,3682,161
1991,Terminator 2: Judgment Day,31765506,618840287,R,Action,2495,136
1995,Batman Forever,52784433,420560256,PG-13,Action,2893,122
2001,Planet of the Apes,68532960,442223480,PG-13,Adventure,3530,120
2004,National Treasure,35142554,404328412,PG,Adventure,3243,130
2012,Django Unchained,30122888,512647000,R,Western,3012,165
2019,1917,576216,429831023,R,Thriller/Suspense,3987,119
2010,Little Fockers,30833665,359089174,PG-13,Comedy,3675,98
1994,True Lies,25869770,411582411,R,Action,2561,141
2007,American Gangster,43565135,298150101,R,Drama,3111,157
2009,Cloudy with a Chance of Meatballs,30304648,261697952,PG,Adventure,3119,90
2010,The Other Guys,35543162,190156448,PG-13,Comedy,3651,97
2004,Lemony Snicket's A Series of Unfortunate Events,30061756,231583141,PG,Adventure,3623,107
2013,The Wolf of Wall Street,18410067,406868086,R,Black Comedy,2557,165
2013,Epic,33531068,270313123,PG,Adventure,3894,103
1996,Eraser,24566446,235695562,R,Action,2556,114
1996,The Hunchback of Notre Dame,21037414,325638851,G,Adventure,2835,91
2000,The Emperor's New Groove,9812302,159261146,G,Adventure,2887,78
2012,The Expendables 2,28591370,297007448,R,Action,3355,103
2009,Where the Wild Things Are,32695407,76357123,PG,Adventure,3735,100
2006,Eragon,23239907,224518278,PG,Adventure,3030,104
2014,Hercules,29800263,216077228,PG-13,Adventure,3595,97
2010,The Tourist,16472458,246362526,PG-13,Thriller/Suspense,2756,102
1999,End of Days,20523595,178916018,R,Action,2665,120
2019,Spies in Disguise,13354798,131895494,PG,Adventure,3502,104
2004,The Stepford Wives,21406781,55626105,PG-13,Black Comedy,3057,93
2007,Surf’s Up,17640249,104263439,PG,Adventure,3531,85
2006,Blood Diamond,8648324,128755832,R,Action,1920,143
2019,Midway,17897419,83675865,PG-13,Action,3242,138
2010,Legend of the Guardians: The Owls of Ga'Hoole,16112211,95392030,PG,Adventure,3575,90
2009,Land of the Lost,18837350,18987011,PG-13,Comedy,3534,102
2003,Peter Pan,11139495,43673335,PG,Adventure,2813,113
2019,Wonder Park,15853646,60328911,PG,Adventure,3838,93
2004,Catwoman,16728411,22280425,PG-13,Action,3117,101
2014,The Expendables 3,15879645,148783922,PG-13,Action,3221,103
2021,West Side Story,10574618,13541579,PG-13,Musical,2820,156
2002,Treasure Planet,12083248,29920554,PG,Adventure,3227,95
2021,The King’s Man,5915542,58301673,R,Action,3180,131
2010,Green Zone,14309295,33020357,R,Drama,3004,114
2017,Geostorm,13707376,154496169,PG-13,Thriller/Suspense,3246,109
2015,Point Break,9800252,55487072,PG-13,Action,2910,113
2019,Cats,6619870,2725695,PG,Musical,3380,110
2015,In the Heart of the Sea,11053366,14714067,PG-13,Adventure,3103,121
2014,Transcendence,10886386,26061567,PG-13,Thriller/Suspense,3455,119
2005,Son of the Mask,7511675,-23063156,PG,Adventure,2966,94
2018,Mortal Engines,7559850,1431311,PG-13,Action,3103,128
2021,Chaos Walking,3775350,-59636432,PG-13,Action,2132,108
2021,The Last Duel,4759151,-59090822,R,Drama,3065,153
2002,The Adventures of Pluto Nash,2182900,-88493903,PG-13,Comedy,2320,118
2012,Jin líng shí san chai,48558,-1461549,R,Drama,30,141
2020,The Midnight Sky,52011790.67,-99924385,PG-13,Adventure,3506,118
2020,Artemis Fowl,52011790.67,-100000000,PG,Adventure,3506,115
2015,The Peanuts Movie,44213073,281270021,G,Adventure,3902,89
2019,The LEGO Movie 2: The Second Part,34115335,196937544,PG,Adventure,4303,107
2018,Robin Hood,36063385,17034640,PG-13,Action,3505,139
2001,The Mummy Returns,68139035,539048035,PG-13,Adventure,3553,129
2019,Ford v. Ferrari,31474958,244443105,PG-13,Drama,3746,152
2002,Gangs of New York,9496870,163855121,R,Drama,2340,155
2017,Alien: Covenant,36160621,215783278,R,Horror,3772,123
2015,Cinderella,67877361,648502706,PG,Drama,3848,105
2012,Ice Age: Continental Drift,46629259,946086980,PG,Adventure,3886,87
2001,Black Hawk Down,179823,173329830,R,Action,3143,144
2010,Sex and the City 2,31001870,295028470,R,Comedy,3445,146
2010,Percy Jackson & the Olympians: The Lightning Thief,31236067,216819177,PG,Adventure,3396,119
2012,The Campaign,26588460,96815492,R,Comedy,3302,85
2010,Unstoppable,22688457,152283863,PG-13,Action,3261,98
1997,The Fifth Element,17031345,232464700,PG-13,Action,2500,126
2000,The Road to El Dorado,12846652,21502661,PG,Adventure,3223,89
2009,The Lovely Bones,116616,44008680,PG-13,Drama,2638,135
2016,Ben-Hur,11203815,23080125,PG-13,Adventure,3084,123
2014,Seventh Son,7217640,31600752,PG-13,Adventure,2875,102
2003,Finding Nemo,70251710,1222624222,G,Adventure,3425,100
2003,The Lord of the Rings: The Return of the King,72629713,1404059951,PG-13,Adventure,3703,201
2002,The Lord of the Rings: The Two Towers,62007528,1167697748,PG-13,Adventure,3622,179
2001,Lara Croft: Tomb Raider,47735743,310474368,PG-13,Adventure,3349,100
2015,Kingsman: The Secret Service,36206331,438823448,R,Action,3282,129
2001,The Lord of the Rings: The Fellowship of the Ring,47211490,1113761574,PG-13,Adventure,3381,179
2001,Jurassic Park III,50771645,454066115,PG-13,Action,3470,93
2011,Rise of the Planet of the Apes,54806191,554746385,PG-13,Adventure,3691,120
2008,The Spiderwick Chronicles,19004058,141534720,PG,Adventure,3847,96
2004,The Incredibles,70467623,800882184,PG,Adventure,3933,115
2013,A Good Day to Die Hard,24834845,279598396,R,Action,3555,98
2004,The Alamo,9124701,-45682276,PG-13,Western,2609,137
1995,Cutthroat Island,2371415,-63465356,PG-13,Adventure,1619,118
2013,The Secret Life of Walter Mitty,12765508,155098021,PG,Adventure,2922,114
2023,65,52011790.67,-91000000,PG-13,Thriller/Suspense,3506,118
