Year,title,opening_weekend,Profit,mpaa,genre,theaters,runtime
2017,The Mummy,31668375,295055030,PG-13,Adventure,4035,107
2013,Jack the Giant Slayer,27202226,67875206,PG-13,Adventure,3525,113
2015,Furious 7,147187040,1677560506,PG-13,Action,4022,137
2013,Star Trek Into Darkness,70165559,506160245,PG-13,Adventure,3907,132
2013,World War Z,66411834,544568361,PG-13,Action,3607,115
2013,The Great Gatsby,50085184,308480838,PG-13,Drama,3550,141
2009,Disney’s A Christmas Carol,30051075,263565560,PG,Drama,3683,95
2013,Pacific Rim,37285325,322805812,PG-13,Action,3285,131
2021,The Matrix Resurrections,10749011,4154622,R,Action,3552,148
2015,The Good Dinosaur,39155217,269358157,PG,Adventure,3749,92
2008,Iron Man,102118668,717775673,PG-13,Adventure,4154,126
2008,The Dark Knight,158411483,1347336736,PG-13,Action,4366,152
2008,Indiana Jones and the Kingdom of the Crystal Skull,100137835,918736532,PG-13,Adventure,4264,123
2012,Brave,66323594,606888714,PG,Adventure,4164,93
2017,Kong: Skull Island,61025472,544124871,PG-13,Adventure,3846,118
2016,Star Trek Beyond,59253211,309522048,PG-13,Adventure,3928,122
2019,Maleficent: Mistress of Evil,36948713,418276100,PG,Adventure,3820,118
2017,Blade Runner 2049,32753122,165883217,R,Thriller/Suspense,4058,164
2019,Terminator: Dark Fate,29033832,127625444,R,Action,4086,128
2021,The Suicide Squad,26205415,37937657,R,Action,4019,132
2019,Aladdin,91500929,1220208922,PG,Adventure,4476,128
2017,Thor: Ragnarok,122744989,985541067,PG-13,Action,4080,130
2005,"The Chronicles of Narnia: The Lion, the Witch a…",52011790.67,832250529,PG-13,Thriller/Suspense,3506,118
2014,Maleficent,69431298,819944063,PG,Adventure,3948,97
2016,Fantastic Beasts and Where to Find Them,74403387,865761960,PG-13,Adventure,4144,133
2008,WALL-E,63087526,576316189,G,Adventure,3992,100
2007,Rush Hour 3,49100158,216711850,PG-13,Action,3778,91
2016,The Legend of Tarzan,38527856,295545086,PG-13,Adventure,3591,110
2011,Hugo,11364505,73912291,PG,Adventure,2608,126
2017,Valerian and the City of a Thousand Planets,17007624,75577726,PG-13,Adventure,3553,129
2015,Jupiter Ascending,18372372,50465038,PG-13,Action,3885,127
2018,Mission: Impossible—Fallout,61236534,829335833,PG-13,Action,4395,147
2016,X-Men: Apocalypse,65769562,519980035,PG-13,Action,4153,136
2018,The Meg,45402195,494814457,PG-13,Action,4118,113
2014,Edge of Tomorrow,28760246,289235236,PG-13,Action,3505,136
2019,Captain Marvel,153433423,1381557227,PG-13,Action,4310,124
2016,The Jungle Book,103261464,1142555541,PG,Adventure,4144,105
2015,Inside Out,90440272,1034465274,PG,Adventure,4158,95
2017,Spider-Man: Homecoming,117027503,1037547580,PG-13,Action,4348,133
2016,Suicide Squad,133682248,895845034,PG-13,Action,4255,123
2009,Up,68108790,849467541,PG,Adventure,3886,89
2017,Coco,50802605,833126440,PG,Musical,3987,105
2018,Ralph Breaks The Internet,56237634,555382541,PG,Adventure,4017,112
2009,Monsters vs. Aliens,59321095,405038906,PG,Adventure,4136,95
2017,Cars 3,53688680,361442484,G,Adventure,4256,109
2009,G.I. Joe: The Rise of Cobra,54713046,277670515,PG-13,Action,4007,118
1999,Wild Wild West,27687484,160035016,PG-13,Adventure,3342,107
2008,The Mummy: Tomb of the Dragon Emperor,40457770,333252001,PG-13,Adventure,3778,111
2007,Evan Almighty,31192615,99421019,PG,Comedy,3636,96
1995,Waterworld,21171780,177492440,PG-13,Action,2420,135
2020,Dolittle,21844045,153457696,PG,Adventure,4155,103
2017,King Arthur: Legend of the Sword,15371270,3805402,PG-13,Adventure,3702,126
2013,47 Ronin,9910310,15079290,PG-13,Action,2690,127
2022,Turning Red,52011790.67,-164034955,PG,Adventure,3506,100
2022,Top Gun: Maverick,126707459,2024094162,PG-13,Action,4751,131
2018,Jurassic World: Fallen Kingdom,148024610,1556053765,PG-13,Action,4485,128
2014,Guardians of the Galaxy,94320883,934596507,PG-13,Action,4088,121
2010,Iron Man 2,128122480,763589720,PG-13,Action,4390,125
2014,Captain America: The Winter Soldier,95023721,804148847,PG-13,Action,3938,135
2014,Dawn of the Planet of the Apes,72611427,749190155,PG-13,Adventure,3969,130
2004,The Polar Express,23325035,331298292,G,Adventure,3650,92
2012,Snow White and the Huntsman,56217700,386158501,PG-13,Adventure,3777,127
2003,Terminator 3: Rise of the Machines,44041440,413416592,R,Action,3504,109
2004,Van Helsing,51748040,250301092,PG-13,Action,3580,132
2019,Dumbo,45990748,297932614,PG,Adventure,4259,130
2019,Godzilla: King of the Monsters,47776293,323800053,PG-13,Action,4108,132
2015,Tomorrowland,33028165,130063840,PG,Adventure,3972,129
2019,Alita: Battle Angel,28525613,317738250,PG-13,Action,3802,122
2016,Alice Through the Looking Glass,26858726,183970493,PG,Adventure,3763,113
2022,Jurassic World: Dominion,145075625,1212197835,PG-13,Action,4697,146
2010,Shrek Forever After,70838207,829981460,PG,Adventure,4386,93
2016,Doctor Strange,85058311,743996401,PG-13,Action,3882,115
2014,Big Hero 6,56215889,705942852,PG,Adventure,3773,108
2010,How to Train Your Dragon,43732319,547452224,PG,Adventure,4060,91
2012,Wreck-It Ralph,49038712,520924198,PG,Adventure,3752,101
2014,Interstellar,47510360,672151767,PG-13,Adventure,3561,165
2021,Dune,41011174,341048357,PG-13,Action,4125,156
2016,Independence Day: Resurgence,41039944,322313710,PG-13,Action,4091,119
2011,Cowboys and Aliens,36431290,113406884,PG-13,Action,3754,118
2017,Beauty and the Beast,174750616,1614056223,PG,Musical,4210,123
2019,Spider-Man: Far From Home,92579212,1363064917,PG-13,Action,4634,129
2018,Aquaman,67873522,1318820507,PG-13,Action,4184,143
2007,Shrek the Third,121629270,970050880,PG,Adventure,4172,92
2010,Inception,62785337,861158660,PG-13,Thriller/Suspense,3792,147
2015,The Hunger Games: Mockingjay - Part 2,102665981,770710689,PG-13,Thriller/Suspense,4175,136
2013,Fast and Furious 6,97375245,867980294,PG-13,Action,3771,130
2014,Godzilla,93188384,569752138,PG-13,Action,3952,123
2011,X-Men: First Class,55101604,341816610,PG-13,Action,3692,132
2008,The Curious Case of Benjamin Button,26853816,297141284,PG-13,Drama,2988,167
2010,The Sorcerer's Apprentice,17619622,121137311,PG,Adventure,3504,108
2006,Poseidon,22155410,82349634,PG-13,Adventure,3555,118
2016,Warcraft,24166110,326265114,PG-13,Action,3406,123
